
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
overer	ovrer	VERinf	_

il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
fra	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tutes	tot	PROind	NOMB.=p|GENRE=f|CAS=r
hautement	hautement	ADVgen	DEGRE=-
marïer	marïer	VERinf	_

Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
apostoile	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	_
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mes	mais1	ADVgen	DEGRE=-
targier	targier2	VERinf	_

ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
archevesques	arcevesque	NOMcom	NOMB.=p|GENRE=m|CAS=n
estre	estre4	PRE	_
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
autre	autre	ADJind	NOMB.=s|GENRE=m|CAS=r
clergier	clergié	NOMcom	NOMB.=s|GENRE=m|CAS=r

funt	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
lur	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
afaire	afaire2	NOMcom	NOMB.=s|GENRE=f|CAS=r
e	et	CONcoo	_
lur	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r

premierement	premierement	ADVgen	DEGRE=-
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
prinseignier	prinseignier	VERinf	_

aprés	après	ADVgen	CAS=-
lur	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=i
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
lur	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
mantels	mantel	NOMcom	NOMB.=p|GENRE=m|CAS=r
deslacier	deslacier	VERinf	_

sengles	sangle	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r
chemise	chemise	NOMcom	NOMB.=p|GENRE=f|CAS=r
sanz	sans	PRE	_
autre	autre	DETind	NOMB.=s|GENRE=m|CAS=r
reconser	resconser	NOMcom	NOMB.=s|GENRE=m|CAS=r

Les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
funt	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
enz	enz	PRE	_
es	en1+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r
cuves	cuve	NOMcom	NOMB.=p|GENRE=f|CAS=r
plungier	plongier	VERinf	_

iluec	iluec	ADVgen	DEGRE=-
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
baptizier	batisier	VERinf	_
et	et	CONcoo	_
lever	lever	VERinf	_

A	a3	PRE	_
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
suen	suen	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
changier	changier	VERinf	_

Clareice	clareice	NOMpro	NOMB.=s|GENRE=f|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
mes	mais1	CONcoo	_
mult	mout	ADVgen	DEGRE=-
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	_
preisier	prisier	VERinf	_

aprés	après	ADVgen	DEGRE=-
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
e	et	CONcoo	_
vestir	vestir	VERinf	_
e	et	CONcoo	_
chaucier	chaucier	VERinf	_

hui	ui	ADVgen	DEGRE=-
mes	mais1	ADVgen	DEGRE=-
devum	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
a	a3	PRE	_
Karle	charles	NOMpro	NOMB.=s|GENRE=m|CAS=r
repairier	repairier	VERinf	_

ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	_
kalabre	calabre	NOMpro	NOMB.=s|GENRE=f|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p|DEGRE=-
dui	deus	DETcar	NOMB.=p|GENRE=m|CAS=r
meis	mois	NOMcom	NOMB.=p|GENRE=m|CAS=r
entier	entier	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p

a	a3	PRE	_
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
iglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
xxx	trente	DETcar	NOMB.=p|GENRE=m|CAS=r
i	un	DETcar	NOMB.=p|GENRE=m|CAS=r
charnier	charnier3	NOMcom	NOMB.=p|GENRE=m|CAS=r

u	où	PROrel	NOMB.=p|GENRE=m|CAS=i
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
morz	morir	VERppe	NOMB.=p|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mettre	metre2	VERinf	_
e	et	CONcoo	_
apareillier	apareillier1	VERinf	_

e	et	CONcoo	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
haut	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
homme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
si	se	CONsub	_
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
auques	auques	ADVgen	DEGRE=-
chier	chier	ADVgen	DEGRE=p

icels	icel	PROdem	NOMB.=p|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
enterrer	enterrer	VERinf	_
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
mustier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r

trente	trente	DETcar	NOMB.=p|GENRE=m|CAS=r
canoines	chanoine	NOMcom	NOMB.=p|GENRE=m|CAS=r
i	i2	PROadv	_
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pur	por2	PRE	_
deu	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
preier	priier	VERinf	_

Oez	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Karles	charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
empereur	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n

par	par	PRE	_
tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
ost	ost	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	_
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
criër	crïer2	VERinf	_
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r

ki	que4	CONsub	_
ne	ne1	ADVneg	_
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
e	en2	PROadv	_
aut	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ne	ne2	CONcoo	_
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
grant	grant	NOMcom	NOMB.=p|GENRE=m|CAS=n
ne	ne2	CONcoo	_
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
menur	menor	NOMcom	NOMB.=p|GENRE=m|CAS=n

ne	ne2	CONcoo	_
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	_
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	_
vavasur	vavassor	NOMcom	NOMB.=s|GENRE=m|CAS=n

Ne	ne2	CONcoo	_
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	_
prince	prince	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	_
cuntur	contor1	NOMcom	NOMB.=s|GENRE=m|CAS=n

a	a3	PRE	_
lur	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
vout	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
leissier	laisser	VERinf	_
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
honor	onor	NOMcom	NOMB.=s|GENRE=m|CAS=r

L	le	DETdef	NOMB.=s|GENRE=m|CAS=n
empereur	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	_
vout	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plus	plus	ADVgen	DEGRE=-
demorer	demorer	VERinf	_

par	par	PRE	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Naimes	naimes	NOMpro	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	_
par	par	PRE	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
viel	vieil	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
otuel	otinel	NOMpro	NOMB.=s|GENRE=m|CAS=r

Fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
apostoile	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
mander	mander	VERinf	_

Que	que4	CONsub	_
chescuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
d	de	PRE	_
els	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
vienge	venir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	_
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
parler	parler	VERinf	_

unc	onque	ADVgen	DEGRE=-
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
apostoile	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	_
i	i2	PROadv	_
ose	oser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
arester	arester	VERinf	_

Les	laissier	DETdef	NOMB.=p|GENRE=m|CAS=r
ordenez	ordener	VERppe	NOMB.=p|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s|DEGRE=-
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=f|CAS=r
ost	ost	NOMcom	NOMB.=s|GENRE=f|CAS=r
returner	retorner	VERinf	_

e	et	CONcoo	_
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
mors	morir	VERppe	NOMB.=p|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
almes	ame	NOMcom	NOMB.=p|GENRE=f|CAS=r
comander	comander	VERinf	_

e	et	CONcoo	_
vet	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
iglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
dedier	dediier	VERinf	_
e	et	CONcoo	_
sacrer	sacrer	VERinf	_

e	et	CONcoo	_

un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
mul	mul3	NOMcom	NOMB.=s|GENRE=m|CAS=r
funt	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r
munter	monter	VERinf	_

poi	poi	PROind	NOMB.=s|GENRE=n|CAS=r
pot	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=n|CAS=n
un	on	PROind	NOMB.=s|GENRE=n|CAS=n
de	de	PRE	_
si	si	ADVgen	DEGRE=-
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
truver	trover	VERinf	_

unkes	onque	ADVgen	DEGRE=-
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
ducs	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	_
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vout	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
conseillier	conseillier1	VERinf	_

prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
frein	frein	NOMcom	NOMB.=s|GENRE=m|CAS=r
si	si	ADVgen	DEGRE=-
comença	comencier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	_
parler	parler	VERinf	_

sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
druërie	drüerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
offri	ofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	_
presenter	presenter	VERinf	_


li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
at	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
meint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
mestir	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r

as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
colps	coup1	NOMcom	NOMB.=p|GENRE=m|CAS=r
doner	doner	VERinf	_
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
brant	brant1	NOMcom	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	_
acir	acier	NOMcom	NOMB.=s|GENRE=m|CAS=r
mulu	moudre1	VERppe	NOMB.=s|GENRE=m|CAS=r

te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
devant	devant	PRE	_
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
tut	tot	DETind	NOMB.=p|GENRE=m|CAS=r
dis	di	NOMcom	NOMB.=p|GENRE=m|CAS=r
bin	bien1	ADVgen	DEGRE=-
coneü	conoistre	VERppe	NOMB.=s|GENRE=m|CAS=r

trestut	trestot	PROind	NOMB.=p|GENRE=m|CAS=n
recuverent	recovrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
entur	entor	PRE	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r

ainz	ainz	ADVgen	DEGRE=-
ke	que4	CONsub	_
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n
tresor	tresor	NOMcom	NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	_
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
venu	venir	VERppe	NOMB.=s|GENRE=m|CAS=n

vos	vos1	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
miens	mien	PROpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
par	par	PRE	_
matinet	matinet	NOMcom	NOMB.=s|GENRE=m|CAS=r
rendu	rendre	VERppe	NOMB.=s|GENRE=m|CAS=n

men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
escintre	escïentre	NOMcom	NOMB.=s|GENRE=m|CAS=r
quant	cant1	CONsub	_
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avers	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
veü	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r

me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
diras	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
k	que4	CONsub	_
enkes	onque	ADVgen	DEGRE=-
grennur	graignor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=c
ne	ne1	ADVneg	_
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s

car	car	CONcoo	_
de	de	PRE	_
duner	doner	VERinf	_
mar	mar	ADVgen	DEGRE=-
serras	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
esperdu	esperdre	VERppe	NOMB.=s|GENRE=m|CAS=n

tant	tant	ADVgen	DEGRE=-
en	en2	PROadv	_
donez	doner	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que1	CONsub	_
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
aeiz	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
vencu	veintre	VERppe	NOMB.=p|GENRE=m|CAS=r

que	que4	CONsub	_
tut	tot	PROind	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	_
augent	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	_
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
revestuz	revestir	VERppe	NOMB.=p|GENRE=m|CAS=n

quant	cant1	CONsub	_
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Naimes	naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
ot	oïr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	_
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
seinur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r

idunc	idonc	ADVgen	DEGRE=-
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
unches	onque	ADVgen	DEGRE=-
n	ne1	ADVneg	_
en	en2	PROadv	_
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grenur	graignor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c

barun	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
nel	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
tenéz	tenir1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
a	a3	PRE	_
folur	folor	NOMcom	NOMB.=s|GENRE=f|CAS=r

cestui	cest	PROdem	NOMB.=s|GENRE=m|CAS=r
servéz	servir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
sanz	sans	PRE	_
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
contreditur	contreditor	NOMcom	NOMB.=s|GENRE=m|CAS=r

ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
aprez	après	PRE	_
deu	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sur	sor2	PRE	_
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
valur	valor	NOMcom	NOMB.=s|GENRE=f|CAS=r

jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	_
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ostage	ostage2	NOMcom	NOMB.=s|GENRE=m|CAS=r
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
grant	grant	NOMcom	NOMB.=s|GENRE=m|CAS=r

si	si	ADVgen	DEGRE=-
fra	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
co	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dunt	dont	PROrel	NOMB.=s|GENRE=n|CAS=i
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
en	en2	PROadv	_
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mestrers	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=n

si	si	ADVgen	DEGRE=-
en	en2	PROadv	_
prendra	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
maveis	mauvais	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
reprovers	reprovier	NOMcom	NOMB.=p|GENRE=m|CAS=r

ore	or4	ADVgen	DEGRE=-
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
tut	tot	ADVgen	DEGRE=-
joiant	joiant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	_
tut	tot	ADVgen	DEGRE=-
liez	lié	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p

nul	nul	PROind	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	_
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
parte	partir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
qu	que4	CONsub	_
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	_
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
tut	tot	ADVgen	DEGRE=-
aitiez	haitier	VERppe	NOMB.=s|GENRE=m|CAS=n

v.ii	set	DETcar	NOMB.=p|GENRE=m|CAS=n
mile	mil1	PROcar	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	_
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
vantez	vanter	VERppe	NOMB.=p|GENRE=m|CAS=n
e	et	CONcoo	_
afichiez	afichier	VERppe	NOMB.=p|GENRE=m|CAS=n

de	de	PRE	_
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
servir	servir	VERinf	_
prest	prest1	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	_
apareeilliez	apareillier1	VERppe	NOMB.=p|GENRE=m|CAS=n

deus	deus	DETcar	NOMB.=p|GENRE=m|CAS=n
ducs	duc2	NOMcom	NOMB.=p|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
